Episode 209/500, Total Reward: 86, Epsilon: 0.351
Episode 210/500, Total Reward: 77, Epsilon: 0.349
Episode 211/500, Total Reward: 85, Epsilon: 0.347
Episode 212/500, Total Reward: 85, Epsilon: 0.346
Episode 213/500, Total Reward: 90, Epsilon: 0.344
Episode 214/500, Total Reward: 83, Epsilon: 0.342
Episode 215/500, Total Reward: 90, Epsilon: 0.340
Episode 216/500, Total Reward: 89, Epsilon: 0.339
Episode 217/500, Total Reward: 83, Epsilon: 0.337
Episode 218/500, Total Reward: 86, Epsilon: 0.335
Episode 219/500, Total Reward: 88, Epsilon: 0.334
Episode 220/500, Total Reward: 77, Epsilon: 0.332
Episode 221/500, Total Reward: 85, Epsilon: 0.330
Episode 222/500, Total Reward: 86, Epsilon: 0.329
Episode 223/500, Total Reward: 77, Epsilon: 0.327
Episode 224/500, Total Reward: 84, Epsilon: 0.325
Episode 225/500, Total Reward: 84, Epsilon: 0.324
Episode 226/500, Total Reward: 82, Epsilon: 0.322
Episode 227/500, Total Reward: 86, Epsilon: 0.321
Episode 228/500, Total Reward: 82, Epsilon: 0.319
Episode 229/500, Total Reward: 75, Epsilon: 0.317
Episode 230/500, Total Reward: 80, Epsilon: 0.316
Episode 231/500, Total Reward: 86, Epsilon: 0.314
Episode 232/500, Total Reward: 86, Epsilon: 0.313
Episode 233/500, Total Reward: 90, Epsilon: 0.311
Episode 234/500, Total Reward: 86, Epsilon: 0.309
Episode 235/500, Total Reward: 84, Epsilon: 0.308
Episode 236/500, Total Reward: 86, Epsilon: 0.306
Episode 237/500, Total Reward: 83, Epsilon: 0.305
Episode 238/500, Total Reward: 89, Epsilon: 0.303
Episode 239/500, Total Reward: 76, Epsilon: 0.302
Episode 240/500, Total Reward: 89, Epsilon: 0.300
Episode 241/500, Total Reward: 80, Epsilon: 0.299
Episode 242/500, Total Reward: 84, Epsilon: 0.297
Episode 243/500, Total Reward: 84, Epsilon: 0.296
Episode 244/500, Total Reward: 90, Epsilon: 0.294
Episode 245/500, Total Reward: 88, Epsilon: 0.293
Episode 246/500, Total Reward: 88, Epsilon: 0.291
Episode 247/500, Total Reward: 61, Epsilon: 0.290
Episode 248/500, Total Reward: 78, Epsilon: 0.288
Episode 249/500, Total Reward: 87, Epsilon: 0.287
Episode 250/500, Total Reward: 85, Epsilon: 0.286
Episode 251/500, Total Reward: 89, Epsilon: 0.284
Episode 252/500, Total Reward: 82, Epsilon: 0.283
Episode 253/500, Total Reward: 90, Epsilon: 0.281
Episode 254/500, Total Reward: 89, Epsilon: 0.280
Episode 255/500, Total Reward: 88, Epsilon: 0.279
Episode 256/500, Total Reward: 76, Epsilon: 0.277
Episode 257/500, Total Reward: 88, Epsilon: 0.276
Episode 258/500, Total Reward: 86, Epsilon: 0.274
Episode 259/500, Total Reward: 83, Epsilon: 0.273
Episode 260/500, Total Reward: 88, Epsilon: 0.272
Episode 261/500, Total Reward: 90, Epsilon: 0.270
Episode 262/500, Total Reward: 90, Epsilon: 0.269
Episode 263/500, Total Reward: 88, Epsilon: 0.268
Episode 264/500, Total Reward: 90, Epsilon: 0.266
Episode 265/500, Total Reward: 85, Epsilon: 0.265
Episode 266/500, Total Reward: 89, Epsilon: 0.264
Episode 267/500, Total Reward: 76, Epsilon: 0.262
Episode 268/500, Total Reward: 80, Epsilon: 0.261
Episode 269/500, Total Reward: 84, Epsilon: 0.260
Episode 270/500, Total Reward: 90, Epsilon: 0.258
Episode 271/500, Total Reward: 86, Epsilon: 0.257
Episode 272/500, Total Reward: 81, Epsilon: 0.256
Episode 273/500, Total Reward: 88, Epsilon: 0.255
Episode 274/500, Total Reward: 83, Epsilon: 0.253
Episode 275/500, Total Reward: 86, Epsilon: 0.252
Episode 276/500, Total Reward: 88, Epsilon: 0.251
